,x,y,z
Lower wishbone front pivot,3819.00,313.00,225.60
Lower wishbone rear pivot,4179.00,280.00,185.90
Lower wishbone outer ball joint,4092.00,723.50,167.10
Upper wishbone front pivot,4092.50,420.00,452.00
Upper wishbone rear pivot,4332.00,420.00,446.00
Upper wishbone outer ball joint,4092.50,695.50,454.10
Damper wishbone end,4146.50,575.00,203.60
Damper body end,4180.00,465.00,593.60
Outer track rod ball joint,4214.50,740.50,208.00
Inner track rod ball joint,4245.50,308.00,227.00
Upper spring pivot point,4180.00,535.00,690.00
Lower spring pivot point,4145.00,665.00,210.00
Wheel spindle point,4092.50,701.00,313.10
Wheel centre point,4092.50,750.00,313.10
Outer axle joint,4092.50,701.00,313.10
Inner axle joint,4092.50,280.40,313.10
,,,
Steering rack,,,
Shock bump from ride,60.00,,
Shock droop from ride,60.00,,
Wheel size,,,
Shock lower mount,1,,
Wheelbase,1524.00,,
