,x,y,z
Lower wishbone front pivot,-1.25733,12.18994,3.86968
Lower wishbone rear pivot,-29.5,4.125,1.3
Lower wishbone outer ball joint,-21.444,23.724,-2.437
Upper wishbone front pivot,-2.59792,13.60795,7.99557
Upper wishbone rear pivot,-29.5,4.125,5.5
Upper wishbone outer ball joint,-21.494,22.526,3.339
Damper wishbone end,-20.357,17.4709,1.6587
Damper body end,-23.7915,10.1711,19.9594
Outer track rod ball joint,-23.7198,23.115,0.4804
Inner track rod ball joint,-29.5,4.475,3.7
Upper spring pivot point,-23.7915,10.1711,19.9594
Lower spring pivot point,-20.357,17.4709,1.6587
Wheel spindle point,-21.4699,23.1149,0.4999
Wheel centre point,-21.4699,25.9999,0.4999
Outer axle joint,-21.4699,23.1149,0.4999
Inner axle joint,-25.3799,3.6223,4.3076
,,,
Steering rack,0,,
Shock bump from ride,4.41,,
Shock droop from ride,4.59,,
Wheel size,23,,
Shock lower mount,1,,
Wheelbase,58,,
